trial,plan iters,plan time,best cost
0,300,30,inf
1,300,30,inf
2,300,30,inf
3,300,30,inf
4,300,30,inf
5,300,30,inf
6,300,30,inf
7,300,30,inf
8,300,30,inf
9,300,30,inf
10,300,30,inf
11,300,30,inf
12,300,30,inf
13,300,30,inf
14,300,30,inf
15,300,30,inf
16,300,30,inf
17,300,30,inf
18,10,0.036057472229003906,8.0
18,300,30,8.0
19,300,30,inf
20,300,30,inf
21,300,30,inf
22,300,30,inf
23,300,30,inf
24,300,30,inf
25,300,30,inf
26,300,30,inf
27,300,30,inf
28,300,30,inf
29,300,30,inf
30,300,30,inf
31,300,30,inf
32,300,30,inf
33,300,30,inf
34,300,30,inf
35,300,30,inf
36,300,30,inf
37,10,0.02829432487487793,6.0
37,300,30,6.0
38,300,30,inf
39,300,30,inf
40,300,30,inf
41,300,30,inf
42,300,30,inf
43,300,30,inf
44,300,30,inf
45,300,30,inf
46,300,30,inf
47,300,30,inf
48,300,30,inf
49,300,30,inf
50,300,30,inf
51,300,30,inf
52,300,30,inf
53,300,30,inf
54,300,30,inf
55,300,30,inf
56,300,30,inf
57,300,30,inf
58,300,30,inf
59,300,30,inf
60,300,30,inf
61,10,0.03427267074584961,7.0
61,300,30,7.0
62,300,30,inf
63,300,30,inf
64,300,30,inf
65,300,30,inf
66,300,30,inf
67,300,30,inf
68,300,30,inf
69,300,30,inf
70,300,30,inf
71,300,30,inf
72,10,0.034934043884277344,7.0
72,300,30,7.0
73,300,30,inf
74,300,30,inf
75,300,30,inf
76,300,30,inf
77,300,30,inf
78,300,30,inf
79,300,30,inf
80,300,30,inf
81,300,30,inf
82,300,30,inf
83,300,30,inf
84,300,30,inf
85,300,30,inf
86,300,30,inf
87,300,30,inf
88,300,30,inf
89,300,30,inf
90,300,30,inf
91,300,30,inf
92,10,0.05410122871398926,11.0
92,300,30,11.0
93,300,30,inf
94,300,30,inf
95,300,30,inf
96,300,30,inf
97,300,30,inf
98,300,30,inf
99,300,30,inf
100,300,30,inf
101,300,30,inf
102,10,0.04158306121826172,9.0
102,300,30,9.0
103,300,30,inf
104,300,30,inf
105,300,30,inf
106,300,30,inf
107,300,30,inf
108,300,30,inf
109,300,30,inf
110,10,0.02382516860961914,4.0
110,300,30,4.0
111,300,30,inf
112,300,30,inf
113,300,30,inf
114,300,30,inf
115,300,30,inf
116,300,30,inf
117,300,30,inf
118,300,30,inf
119,10,0.035967350006103516,7.0
119,300,30,7.0
120,300,30,inf
121,300,30,inf
122,300,30,inf
123,300,30,inf
124,300,30,inf
125,300,30,inf
126,300,30,inf
127,300,30,inf
128,300,30,inf
129,300,30,inf
130,300,30,inf
131,300,30,inf
132,300,30,inf
133,300,30,inf
134,300,30,inf
135,300,30,inf
136,300,30,inf
137,300,30,inf
138,300,30,inf
139,300,30,inf
140,300,30,inf
141,300,30,inf
142,300,30,inf
143,300,30,inf
144,300,30,inf
145,300,30,inf
146,300,30,inf
147,300,30,inf
148,300,30,inf
149,300,30,inf
150,300,30,inf
151,300,30,inf
152,300,30,inf
153,300,30,inf
154,300,30,inf
155,300,30,inf
156,300,30,inf
157,300,30,inf
158,300,30,inf
159,300,30,inf
160,300,30,inf
161,300,30,inf
162,300,30,inf
163,300,30,inf
164,300,30,inf
165,300,30,inf
166,300,30,inf
167,300,30,inf
168,300,30,inf
169,300,30,inf
170,300,30,inf
171,300,30,inf
172,300,30,inf
173,300,30,inf
174,300,30,inf
175,300,30,inf
176,300,30,inf
177,300,30,inf
178,300,30,inf
179,300,30,inf
180,300,30,inf
181,300,30,inf
182,300,30,inf
183,300,30,inf
184,10,0.014613866806030273,3.0
184,300,30,3.0
185,300,30,inf
186,300,30,inf
187,300,30,inf
188,300,30,inf
189,300,30,inf
190,300,30,inf
191,300,30,inf
192,300,30,inf
193,300,30,inf
194,300,30,inf
195,300,30,inf
196,300,30,inf
197,300,30,inf
198,300,30,inf
199,10,0.023117780685424805,5.0
199,300,30,5.0
Num trials: 200
Success rate: 0.05
Average cost: 6.7
Cost STD: 2.238302928559939
Cost CI: 1.4156270695349111
